Id,DistrictId,Rooms,Square,LifeSquare,KitchenSquare,Floor,HouseFloor,HouseYear,Ecology_1,Ecology_2,Ecology_3,Social_1,Social_2,Social_3,Healthcare_1,Helthcare_2,Shops_1,Shops_2
15115,114,2.0,43.87411374260457,27.24881159189423,6.0,10,12.0,1967,0.327018035,B,B,12,2270,23,2500.0,1,0,B
4816,89,2.0,58.69490814155216,37.92669749860402,7.0,4,8.0,1963,0.151346216,B,A,32,5889,10,830.0,4,1,B
5037,57,1.0,43.65228799732215,23.673360537108827,8.0,2,14.0,2003,0.133215333,B,B,49,11395,3,1406.0,3,4,A
8885,9,2.0,39.594201899786405,25.09839501890793,5.0,5,5.0,1977,0.136244425,B,B,11,2370,0,,0,1,B
5777,19,1.0,41.08796654050919,21.541109877625733,7.0,4,17.0,2004,0.309479124,B,B,35,7715,4,990.0,0,6,B
9101,124,1.0,31.813360216676827,21.86835875403738,5.0,5,5.0,1961,0.16909109,B,B,19,3856,10,,2,5,B
5855,13,3.0,63.29018685123396,47.49428440286018,6.0,8,12.0,1973,0.090799103,B,B,74,19083,2,,5,15,B
5567,53,2.0,46.64851750231363,29.934411104951447,5.0,5,9.0,1973,0.313924552,B,B,22,4625,11,3855.0,2,10,B
6208,90,1.0,44.827681736643534,20.377861178948454,10.0,10,24.0,2010,0.246031548,B,A,22,3151,4,2715.0,3,3,B
7394,148,3.0,79.67085654838417,48.503318502740136,6.0,18,33.0,2015,0.313924552,B,B,22,4625,11,3855.0,2,10,B
1580,4,3.0,66.88700413597114,39.40710929174745,5.0,3,5.0,1930,0.042031587,B,B,37,6856,84,1940.0,2,5,B
3879,143,2.0,52.733950312148544,34.71890116429108,8.0,13,16.0,1984,0.049863387,B,B,18,3746,9,75.0,3,1,B
1210,156,2.0,61.26185113436299,35.55749544272813,12.0,12,17.0,2010,0.007658515,B,B,35,7077,56,2301.0,3,19,B
4385,46,2.0,58.87737157486303,31.59340051277945,8.0,13,16.0,1981,0.0,B,B,47,11319,0,1145.0,3,5,B
3258,1,2.0,61.36273478271861,,1.0,4,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B
11286,1,2.0,62.16728312575921,,0.0,11,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B
1588,34,3.0,83.39982784722473,45.49308652179234,9.0,4,22.0,1996,0.069753361,B,B,53,13670,4,,1,11,B
12749,21,2.0,49.01197643712825,27.98019469201397,5.0,6,5.0,1969,0.194489265,B,B,47,8004,3,125.0,3,5,B
1352,161,2.0,44.53759922228132,32.77947494030346,5.0,6,5.0,1966,0.195781053,B,B,23,5212,6,,3,2,B
7048,75,1.0,32.818082647218496,19.213318712173,5.0,3,14.0,1965,0.122090347,B,B,29,6566,7,1894.0,4,0,B
11402,57,1.0,33.755512483623235,21.753506251987616,5.0,4,5.0,1960,0.133215333,B,B,49,11395,3,1406.0,3,4,A
14736,49,1.0,41.554643261544506,18.860671234380245,8.0,5,15.0,2011,0.020741326,B,B,24,5613,5,1340.0,2,5,B
6113,17,1.0,37.91469999836486,20.534669989357653,8.0,17,24.0,1988,0.0,B,B,18,3374,5,620.0,1,2,B
2812,120,2.0,81.48850118088006,,1.0,13,17.0,1977,0.341071945,B,B,27,5664,48,2300.0,3,11,B
12588,108,3.0,76.53132804062339,53.93333647094448,9.0,7,8.0,1958,0.0,B,B,23,3684,2,,0,4,B
14115,28,2.0,46.706172915930175,30.99601396174773,5.0,6,5.0,1960,0.118537385,B,B,30,6207,1,1183.0,1,0,B
16315,52,3.0,80.57458408613198,48.891056287845046,10.0,19,17.0,1988,0.371148999,B,B,34,7065,1,750.0,2,5,B
12396,8,2.0,45.98079102044342,29.68037449062745,5.0,5,9.0,1970,0.43788524,B,B,23,5735,3,1084.0,0,5,B
9242,22,2.0,58.266099039085645,,1.0,12,17.0,1977,0.118537385,B,B,30,6207,1,1183.0,1,0,B
16730,99,3.0,62.56608122373083,41.58604575681378,8.0,3,9.0,1975,0.012338886,B,B,35,5776,1,2078.0,2,4,B
11965,67,2.0,46.76858227283441,33.24520439374607,5.0,9,9.0,1980,0.100455735,B,B,43,7227,0,,1,6,A
162,8,1.0,40.109638589309306,18.660004137151176,9.0,14,15.0,1977,0.092290642,B,B,21,4346,2,165.0,1,2,B
8015,27,1.0,66.0990958257489,33.639610651444656,62.0,3,7.0,2016,0.01405792,B,B,1,290,0,,0,0,B
7532,9,2.0,47.91777171886911,30.918685354524595,8.0,4,14.0,2010,0.13012277,B,B,8,1986,0,,0,0,B
398,98,2.0,57.82014436375555,32.8307299370997,10.0,4,16.0,1980,0.195781053,B,B,23,5212,6,,3,2,B
6068,57,2.0,55.62042545175433,32.64952237937902,8.0,9,16.0,1980,0.133215333,B,B,49,11395,3,1406.0,3,4,A
1859,6,2.0,64.35032819675892,61.03381767971413,10.0,8,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
12751,1,1.0,40.97560560816847,43.48939357463949,8.0,14,14.0,1990,0.025609157,B,B,33,5261,0,240.0,3,1,B
13075,101,3.0,77.34014534492799,53.38421356538922,10.0,5,5.0,1959,0.225824954,A,B,41,6558,7,1548.0,3,2,B
1616,30,1.0,42.89863448132304,44.623533723236285,1.0,4,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
9911,115,1.0,39.592075945759184,23.64859343504583,9.0,11,12.0,1971,1.8e-09,B,B,16,3681,73,1815.0,2,5,B
13459,1,1.0,40.0929429686836,,1.0,6,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
6257,62,1.0,43.83591910863056,,0.0,9,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
303,95,1.0,31.31466816681641,21.20780187517953,6.0,6,8.0,1961,0.341071945,B,B,27,5664,48,2300.0,3,11,B
12316,183,5.0,157.97610124554296,101.04048496167265,12.0,7,8.0,1908,0.246623602,B,B,14,2940,45,,3,6,B
12736,9,3.0,89.2439640308897,45.99828585634443,10.0,16,22.0,1987,0.136244425,B,B,11,2370,0,,0,1,B
11748,52,2.0,66.18194571344175,34.92026440597743,12.0,10,17.0,2006,0.371148999,B,B,34,7065,1,750.0,2,5,B
8350,93,2.0,49.43858303593925,33.12365430845393,9.0,5,12.0,1977,0.050900058,B,B,43,10621,1,30.0,2,3,B
14180,60,1.0,37.357989544334266,17.785678488988694,7.0,7,7.0,2000,0.007658515,B,B,35,7077,56,2301.0,3,19,B
9158,27,1.0,32.38584024360763,33.030973675405725,1.0,2,15.0,2015,0.211401214,B,B,9,1892,0,,0,1,B
3022,83,1.0,42.70103167477756,19.38302869738532,7.0,16,17.0,2000,0.0077202819999999,B,B,38,4788,2,,0,4,B
8453,23,1.0,27.839145352008995,29.79901734206164,0.0,6,6.0,2018,0.034656082,B,B,0,168,0,,0,0,B
1320,23,2.0,54.350504892039226,57.37699040666648,1.0,4,3.0,1977,0.005767451,B,B,1,388,0,,0,0,B
12025,45,1.0,39.35389753557517,,1.0,17,1.0,1977,0.195781053,B,B,23,5212,6,,3,2,B
11088,62,2.0,77.85024726892874,,0.0,12,0.0,1977,0.072157581,B,B,2,629,1,,0,0,A
7848,1,2.0,63.82016625789128,,0.0,3,22.0,1977,0.007122317,B,B,1,264,0,,0,1,B
5464,93,2.0,70.48011132680861,68.61411012153626,12.0,9,17.0,2016,0.050900058,B,B,43,10621,1,30.0,2,3,B
8180,11,3.0,67.13391138538887,50.80979717351564,6.0,5,9.0,1973,0.0001696759999999,B,B,36,5992,0,,1,1,B
3821,53,1.0,30.96612456567489,19.73219578065021,6.0,1,5.0,1961,0.049637257,B,B,34,7759,0,229.0,1,3,B
11968,120,3.0,77.25630780858694,48.96858282285993,10.0,6,12.0,2006,0.0006991189999999,B,B,14,3369,24,4129.0,0,3,B
2859,62,1.0,45.89551833261908,1.4573654104596891,1.0,10,15.0,2018,0.072157581,B,B,2,629,1,,0,0,A
10488,23,3.0,80.56389072445232,,1.0,19,25.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
4567,44,1.0,36.8476300590569,19.094182475639247,5.0,5,9.0,1970,0.036122292,B,B,24,4378,0,1036.0,1,1,B
16152,41,2.0,56.32867275105532,34.23357427403737,8.0,3,16.0,1977,0.036122292,B,B,24,4378,0,1036.0,1,1,B
5133,61,2.0,53.583178988151424,33.64767109879137,8.0,7,12.0,1977,0.300322518,B,B,52,10311,6,,1,9,B
3334,120,1.0,33.50706978317867,22.23001890664497,5.0,2,9.0,1972,0.341071945,B,B,27,5664,48,2300.0,3,11,B
6160,31,2.0,44.7276568549029,30.314237983973552,5.0,5,9.0,1974,0.151346216,B,A,32,5889,10,830.0,4,1,B
4391,27,2.0,40.0254905290089,43.603072484157465,10.0,8,12.0,2016,0.072157581,B,B,2,629,1,,0,0,A
3198,47,1.0,35.71402869506629,22.638513886402112,6.0,6,9.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
2260,105,1.0,37.91085152474015,22.81594345129993,6.0,9,9.0,1974,0.069660344,B,B,31,6119,4,,1,2,B
4535,138,1.0,38.739778474816106,21.274676732844373,7.0,11,17.0,2002,0.1363303,B,B,30,6141,10,262.0,3,6,B
2600,1,3.0,76.88518041611354,44.43330979690482,10.0,9,17.0,1994,0.025609157,B,B,33,5261,0,240.0,3,1,B
14887,58,2.0,53.391766462917566,33.13546564653793,9.0,14,14.0,2008,0.050755569,B,B,24,5469,1,145.0,0,1,B
2343,119,1.0,35.64458288090695,22.99131673208244,5.0,7,9.0,1964,0.000995363,B,B,42,7651,1,,1,5,B
4499,99,2.0,56.39647501836508,29.173768485531543,11.0,1,16.0,1997,0.012338886,B,B,35,5776,1,2078.0,2,4,B
11384,6,3.0,77.06377276635772,70.31303414128256,1.0,5,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
14438,61,2.0,57.460213321077525,33.412023557023105,10.0,16,17.0,1985,0.300322518,B,B,52,10311,6,,1,9,B
1613,3,2.0,61.290380030671976,64.09672908751561,11.0,3,16.0,2003,0.050900058,B,B,43,10621,1,30.0,2,3,B
6579,23,2.0,46.055741062053,26.936678336120032,5.0,1,2.0,1975,0.034656082,B,B,0,168,0,,0,0,B
8558,1,1.0,46.51797657382706,46.89152135890333,10.0,24,24.0,2017,0.007122317,B,B,1,264,0,,0,1,B
3284,93,1.0,40.727082419058334,24.11235097238164,8.0,4,12.0,1984,0.050900058,B,B,43,10621,1,30.0,2,3,B
13358,67,3.0,77.70572790087279,44.60335906039185,10.0,13,16.0,1979,0.0077202819999999,B,B,38,4788,2,,0,4,B
3721,37,1.0,44.45644115136354,21.70965058409684,8.0,10,14.0,1997,0.127811589,B,B,28,7287,5,320.0,1,3,B
6524,30,2.0,67.6926820649881,67.67809797936907,1.0,10,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
14303,33,1.0,41.4385422224581,23.9424938812742,9.0,8,14.0,1971,0.050272014,B,B,21,4231,14,1020.0,0,3,B
16629,151,1.0,32.11344868416979,22.077257160114712,6.0,8,9.0,1976,0.236108458,B,B,16,3893,27,,3,10,B
10435,67,2.0,52.1193655125217,33.24378032009347,6.0,8,12.0,1979,0.100455735,B,B,43,7227,0,,1,6,A
11962,59,1.0,45.57308066621864,45.490972650885226,0.0,11,11.0,2015,0.019508796,B,B,37,7687,11,176.0,5,5,B
16677,91,1.0,36.98230459075872,24.01693853817417,5.0,7,9.0,1970,0.000995363,B,B,42,7651,1,,1,5,B
8151,8,3.0,62.69182082435152,45.44902799349871,5.0,4,5.0,1970,0.43788524,B,B,23,5735,3,1084.0,0,5,B
10816,51,3.0,97.88933216939984,58.64056425285965,12.0,4,5.0,1929,0.015016892,B,B,17,3079,59,2890.0,0,8,B
9416,46,2.0,39.82239250941871,24.76019042637932,7.0,7,9.0,1966,0.188783766,B,B,31,6137,4,,0,1,B
2372,94,2.0,49.33256475106596,29.09364337441785,9.0,2,9.0,1973,0.127375905,B,B,43,8429,3,,3,9,B
14265,29,1.0,33.7344385379959,17.472584575794908,5.0,3,5.0,1968,0.069660344,B,B,31,6119,4,,1,2,B
13225,88,1.0,43.72039389751112,,0.0,18,0.0,1977,0.127375905,B,B,43,8429,3,,3,9,B
503,26,3.0,46.82428631251123,35.39142480995873,4.0,5,5.0,1963,0.0,B,B,36,6714,2,2672.0,0,2,B
12184,1,2.0,66.82814720114739,66.51556795276943,1.0,13,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
10464,22,2.0,41.81740187372816,24.50311264467215,5.0,6,9.0,1972,0.118537385,B,B,30,6207,1,1183.0,1,0,B
12137,124,3.0,94.23797846010334,52.34820344294866,12.0,12,21.0,2005,0.122090347,B,B,29,6566,7,1894.0,4,0,B
9884,29,1.0,17.273699182726347,16.452172164491667,2.0,3,5.0,1962,0.069660344,B,B,31,6119,4,,1,2,B
6331,157,2.0,53.570865114447386,36.70597346329551,8.0,3,8.0,1961,0.0,B,B,30,7538,87,4702.0,5,5,B
9214,41,3.0,64.03553229634291,43.44466553890496,8.0,7,9.0,1978,6.99893e-05,B,B,46,10309,1,240.0,1,16,B
5018,27,2.0,65.81218754096736,33.852297606893195,11.0,5,18.0,2016,0.072157581,B,B,2,629,1,,0,0,A
12748,38,1.0,47.705575627852326,46.05649155827263,10.0,25,25.0,2017,0.060753049,B,B,15,2787,2,520.0,0,7,B
13631,6,2.0,53.0362479813554,,1.0,14,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
13403,29,3.0,75.16640100804352,46.15495131259904,9.0,16,14.0,2000,0.086885265,B,B,10,2277,2,1547.0,0,0,B
4,4,1.0,37.29466861528707,17.165597339001152,8.0,9,9.0,1970,0.327018035,B,B,12,2270,23,2500.0,1,0,B
7769,124,4.0,189.6795763834105,114.7086732256983,4.0,19,40.0,2013,0.174739084,B,B,17,3379,9,100.0,0,3,B
14535,62,3.0,64.19588605946585,46.74645843223715,6.0,8,9.0,1972,0.002211665,B,B,39,7614,3,,1,5,A
3006,66,2.0,48.32314250593068,30.51139717636145,5.0,7,9.0,1971,0.111627393,B,B,50,12238,8,1970.0,2,3,B
3103,1,3.0,81.68036945315265,,0.0,6,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
15709,48,3.0,86.48993470329461,86.16502319357315,1.0,24,1.0,2015,0.041124634,B,B,46,9515,5,,1,10,B
13819,46,1.0,30.94516744710193,13.434489510466545,6.0,5,9.0,1968,0.188783766,B,B,31,6137,4,,0,1,B
8718,6,2.0,64.24151723102922,33.37158667212116,12.0,6,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
13525,46,1.0,32.537038311989264,11.070513256260249,5.0,3,9.0,1970,0.0,B,B,47,11319,0,1145.0,3,5,B
6148,88,1.0,41.1515782548306,23.193879498354093,8.0,6,12.0,1978,0.127375905,B,B,43,8429,3,,3,9,B
4301,44,2.0,60.68246576789922,37.55960236019028,10.0,16,22.0,2014,0.232205084,B,B,24,4860,1,80.0,0,3,B
10978,1,2.0,64.35944435742464,,1.0,8,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
16085,44,1.0,38.862075559132094,23.45930942486473,6.0,9,9.0,1981,0.036122292,B,B,24,4378,0,1036.0,1,1,B
8006,113,1.0,35.37590253077519,22.787446286938486,9.0,15,14.0,1971,0.050755569,B,B,24,5469,1,145.0,0,1,B
2650,3,1.0,40.56920149635955,23.129704969926426,8.0,4,12.0,1984,0.050900058,B,B,43,10621,1,30.0,2,3,B
16215,96,1.0,40.706905508562215,21.012513018503675,7.0,13,17.0,1996,0.041116354,B,B,53,14892,4,,1,4,B
3691,6,2.0,66.67457077605533,3.7230314790522496,1.0,2,17.0,2016,0.243204519,B,B,5,1564,0,540.0,0,0,B
10842,6,1.0,38.63728613062735,,1.0,17,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
10702,100,1.0,34.77799263131417,20.789409410796186,9.0,3,12.0,1970,0.200146802,B,B,23,3975,8,770.0,2,0,B
2421,148,2.0,54.06569450368186,34.45649259611906,8.0,12,17.0,1986,0.313924552,B,B,22,4625,11,3855.0,2,10,B
14114,138,2.0,49.20656626332695,32.83257397662646,6.0,5,9.0,1976,0.1363303,B,B,30,6141,10,262.0,3,6,B
14780,144,2.0,68.07955919996544,35.14832232351565,11.0,4,17.0,2004,0.306977489,B,B,27,5148,14,1575.0,5,7,B
90,51,3.0,75.40175367063244,52.9875244464296,4.0,2,6.0,1931,0.015016892,B,B,17,3079,59,2890.0,0,8,B
15046,129,2.0,58.1988100583595,29.06373897309013,12.0,13,16.0,1980,0.051942062,B,B,17,4017,7,800.0,2,0,B
7134,30,2.0,64.22692249579332,,1.0,16,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
6610,6,2.0,61.92550656131602,,0.0,2,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
8956,28,2.0,41.52703436743553,27.006878919666296,5.0,3,12.0,1976,0.118537385,B,B,30,6207,1,1183.0,1,0,B
8909,120,3.0,76.35613869996493,49.56210325134571,8.0,5,8.0,1960,0.341071945,B,B,27,5664,48,2300.0,3,11,B
7188,59,1.0,44.3016133524626,,1.0,16,17.0,1977,0.019508796,B,B,37,7687,11,176.0,5,5,B
2790,3,2.0,79.51024617457831,41.19045541037004,13.0,5,15.0,2013,0.050900058,B,B,43,10621,1,30.0,2,3,B
10552,10,2.0,53.28378809851461,32.472275334318226,8.0,18,17.0,1989,0.089039719,B,B,33,7976,5,,0,11,B
7373,83,3.0,63.63513961375336,39.24199726453405,8.0,2,9.0,1977,0.100455735,B,B,43,7227,0,,1,6,A
1245,26,1.0,85.45017473248195,82.91130502915647,1.0,8,20.0,2012,0.0,B,B,36,6714,2,2672.0,0,2,B
13851,37,2.0,55.26865275717001,57.7895316932312,10.0,16,17.0,2015,0.178916796,B,B,18,3594,4,192.0,1,5,B
10782,18,1.0,43.899196544135286,20.97551042498305,8.0,9,14.0,1985,0.0,B,B,30,5562,0,,0,5,A
12886,6,1.0,37.57881096670422,,0.0,13,17.0,1977,0.243204519,B,B,5,1564,0,540.0,0,0,B
9683,113,3.0,66.26716052104592,40.32470121470561,8.0,9,9.0,1974,0.050755569,B,B,24,5469,1,145.0,0,1,B
4771,47,2.0,65.79987999989855,35.212754683059046,10.0,9,24.0,2009,0.101872465,B,B,23,4583,3,,3,3,B
12898,11,1.0,33.35089186623317,20.31937194820121,5.0,7,5.0,1965,0.225824954,A,B,41,6558,7,1548.0,3,2,B
6445,192,3.0,63.118448260727455,44.97807245512867,8.0,4,8.0,1961,0.225824954,A,B,41,6558,7,1548.0,3,2,B
12459,96,2.0,56.33742135110491,36.416342492387344,9.0,7,12.0,2002,0.041116354,B,B,53,14892,4,,1,4,B
9493,1,2.0,66.2871115020751,,0.0,4,0.0,1977,0.007122317,B,B,1,264,0,,0,1,B
3696,46,2.0,44.285160148367225,24.124580481348925,5.0,13,12.0,1975,0.188783766,B,B,31,6137,4,,0,1,B
9991,27,3.0,78.03231040061465,,1.0,9,12.0,1977,0.072157581,B,B,2,629,1,,0,0,A
1156,12,3.0,78.05515938083218,45.90856071526697,10.0,12,16.0,1984,0.090799103,B,B,74,19083,2,,5,15,B
16482,95,1.0,43.54258277775217,,1.0,20,17.0,1977,0.0,B,B,7,1660,39,1786.0,1,5,B
6849,33,3.0,95.36272463496312,,0.0,16,17.0,1977,0.236108458,B,B,16,3893,27,,3,10,B
2825,8,2.0,62.64316081071747,33.442774413492735,10.0,13,22.0,2005,0.43788524,B,B,23,5735,3,1084.0,0,5,B
7788,5,1.0,36.75250636108544,22.149367752722178,9.0,8,9.0,1984,0.150817539,B,B,16,3433,4,2643.0,4,5,B
2131,169,2.0,44.9593044244778,29.0507070138421,6.0,6,9.0,1972,0.178916796,B,B,18,3594,4,192.0,1,5,B
876,55,1.0,38.47734324565155,22.510626753619174,8.0,11,17.0,1989,0.041365446,B,B,31,5569,0,,1,4,B
3964,37,1.0,38.48854856674393,21.975677830992574,8.0,18,17.0,1989,0.178916796,B,B,18,3594,4,192.0,1,5,B
255,73,2.0,45.65805970608304,23.04903799095737,6.0,8,14.0,1976,0.042031587,B,B,37,6856,84,1940.0,2,5,B
11376,75,1.0,41.42450603526496,19.919534270664226,8.0,13,17.0,2000,0.122090347,B,B,29,6566,7,1894.0,4,0,B
2163,9,3.0,75.43417765765577,42.48023647854807,9.0,22,22.0,1987,0.136244425,B,B,11,2370,0,,0,1,B
3319,48,2.0,50.62700649726228,48.79007897495828,6.0,12,12.0,1981,0.041124634,B,B,46,9515,5,,1,10,B
6190,111,1.0,34.12631851503142,33.13859382078357,5.0,5,5.0,1969,0.135649789,B,B,46,7960,6,350.0,3,11,B
3382,3,2.0,47.193251589009726,28.03635554949861,6.0,5,5.0,1968,0.050900058,B,B,43,10621,1,30.0,2,3,B
6209,9,2.0,43.86079994680626,29.22862523799203,5.0,3,5.0,1971,0.161531741,B,B,25,5648,1,30.0,2,4,B
11208,61,2.0,48.83780425548026,30.087498639902428,6.0,6,9.0,1975,0.300322518,B,B,52,10311,6,,1,9,B
1095,27,2.0,57.60356358302562,58.67384886246442,1.0,7,12.0,2017,0.011654127,B,B,4,915,0,,0,0,B
14793,27,1.0,47.29597811479785,45.00004689948912,10.0,6,5.0,2017,0.072157581,B,B,2,629,1,,0,0,A
10979,62,2.0,73.18062145426948,72.30984659763331,1.0,13,11.0,1977,0.072157581,B,B,2,629,1,,0,0,A
1474,74,1.0,48.03187756107896,,0.0,7,0.0,1977,0.075778755,B,B,6,1437,3,,0,2,B
10514,18,2.0,53.936918815232296,30.97388560318595,8.0,11,14.0,1986,0.0,B,B,30,5562,0,,0,5,A
13321,101,2.0,49.387965864877394,33.240340058033304,6.0,7,5.0,1965,0.225824954,A,B,41,6558,7,1548.0,3,2,B
5974,124,3.0,72.26502604053701,44.4778111597738,9.0,9,14.0,1988,0.122090347,B,B,29,6566,7,1894.0,4,0,B
3077,27,1.0,37.53558298559148,,1.0,2,19.0,2014,0.211401214,B,B,9,1892,0,,0,1,B
1139,6,2.0,63.5173347059491,,1.0,25,25.0,2017,0.243204519,B,B,5,1564,0,540.0,0,0,B
15634,53,2.0,51.76466671542158,30.214645628848533,6.0,2,9.0,1973,0.049637257,B,B,34,7759,0,229.0,1,3,B
10033,167,1.0,35.677794131006095,20.883123478274268,9.0,10,12.0,1970,0.051942062,B,B,17,4017,7,800.0,2,0,B
9212,121,3.0,67.35340643632648,47.10108548543403,7.0,12,12.0,1976,0.212515361,B,B,19,3293,16,628.0,3,7,B
11068,11,3.0,84.73759016013099,46.36080258728897,10.0,16,14.0,2000,0.0001696759999999,B,B,36,5992,0,,1,1,B
10769,6,1.0,45.707637307709945,,1.0,4,25.0,2017,0.243204519,B,B,5,1564,0,540.0,0,0,B
11539,26,2.0,49.52896355463472,30.51241100466033,6.0,12,12.0,1977,0.0,B,B,36,6714,2,2672.0,0,2,B
15149,7,2.0,53.57423643720745,27.713771357573066,7.0,6,5.0,1954,0.130617806,B,B,39,10418,9,900.0,1,9,B
7255,45,1.0,43.11166755414224,39.7377967275228,0.0,13,12.0,2016,0.195781053,B,B,23,5212,6,,3,2,B
947,74,2.0,66.79384142526611,36.75044300718617,12.0,10,23.0,2008,0.371148999,B,B,34,7065,1,750.0,2,5,B
13420,27,2.0,66.2686434987951,39.26450110491086,8.0,5,3.0,2017,0.01405792,B,B,1,290,0,,0,0,B
11477,30,1.0,42.40820003516843,,1.0,9,17.0,1977,7.81528e-05,B,B,22,6398,141,1046.0,3,23,B
12167,1,2.0,55.764082113469954,56.36711409567005,1.0,16,17.0,1977,0.007122317,B,B,1,264,0,,0,1,B
14544,87,1.0,43.26418923612332,19.75932522273568,8.0,16,17.0,1987,0.100455735,B,B,43,7227,0,,1,6,A
2824,66,3.0,51.30906827141424,35.792192403845355,5.0,3,9.0,1977,0.111627393,B,B,50,12238,8,1970.0,2,3,B
13416,27,1.0,35.54463363125278,33.03433558652774,1.0,11,1.0,1977,0.072157581,B,B,2,629,1,,0,0,A
10601,62,2.0,43.93073517715511,26.37791031278286,5.0,2,5.0,1967,0.386771659,B,B,5,1135,0,,0,0,A
8834,81,1.0,36.848987281363954,23.48992992631429,10.0,5,12.0,1970,0.006076152,B,B,30,5285,0,645.0,6,6,B
615,90,1.0,40.59683289423657,21.24519725288977,8.0,14,15.0,1976,0.265088676,B,B,37,5288,0,1937.0,3,2,B
3375,9,2.0,61.79563588516488,,1.0,4,1.0,1977,0.161531741,B,B,25,5648,1,30.0,2,4,B
5608,52,2.0,64.26868872512564,65.3086427714118,1.0,8,17.0,1977,0.371148999,B,B,34,7065,1,750.0,2,5,B
